image_path,true_label,pred_label,confidence,correct,top5
data/SkinDisease/SkinDisease/test/Tinea/tinea-primary-lesion-64.jpeg,Tinea,Tinea,0.2135180383920669,True,"Tinea,DrugEruption,Vascular_Tumors,Eczema,Acne"
data/SkinDisease/SkinDisease/test/Vitiligo/vitiligo-55__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Vitiligo,Vitiligo,0.2429845482110977,True,"Vitiligo,Sun_Sunlight_Damage,Lichen,Lupus,Vasculitis"
data/SkinDisease/SkinDisease/test/Benign_tumors/calcifying-epithelioma-7.jpeg,Benign_tumors,Benign_tumors,0.2764061689376831,True,"Benign_tumors,Tinea,Moles,Lupus,Vasculitis"
data/SkinDisease/SkinDisease/test/Warts/warts-26.jpeg,Warts,Warts,0.3422988951206207,True,"Warts,Acne,Eczema,Tinea,Sun_Sunlight_Damage"
data/SkinDisease/SkinDisease/test/Rosacea/3637__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Rosacea,Rosacea,0.3572995662689209,True,"Rosacea,Actinic_Keratosis,Benign_tumors,Lupus,Sun_Sunlight_Damage"
data/SkinDisease/SkinDisease/test/Psoriasis/psoriasis-pustular-generalized-21.jpeg,Psoriasis,Psoriasis,0.3619897961616516,True,"Psoriasis,Acne,Warts,Tinea,Lupus"
data/SkinDisease/SkinDisease/test/Infestations_Bites/Box6MiscIMG086-GP3.jpeg,Infestations_Bites,Infestations_Bites,0.3654126822948456,True,"Infestations_Bites,Acne,Bullous,Vasculitis,SkinCancer"
data/SkinDisease/SkinDisease/test/DrugEruption/drug-eruptions-106.jpeg,DrugEruption,DrugEruption,0.3680185675621032,True,"DrugEruption,Psoriasis,Vasculitis,SkinCancer,Lupus"
data/SkinDisease/SkinDisease/test/SkinCancer/basal-cell-carcinoma-pigmented-32.jpeg,SkinCancer,SkinCancer,0.3741133213043213,True,"SkinCancer,Benign_tumors,Tinea,Vascular_Tumors,Seborrh_Keratoses"
data/SkinDisease/SkinDisease/test/Benign_tumors/porokeratosis-41.jpeg,Benign_tumors,Benign_tumors,0.3854246139526367,True,"Benign_tumors,Warts,Tinea,SkinCancer,Seborrh_Keratoses"
data/SkinDisease/SkinDisease/test/Lupus/le-hands__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Lupus,Lupus,0.3977340757846832,True,"Lupus,Lichen,Vitiligo,Tinea,Actinic_Keratosis"
data/SkinDisease/SkinDisease/test/Seborrh_Keratoses/stucco-keratoses-2.jpeg,Seborrh_Keratoses,Seborrh_Keratoses,0.4144380688667297,True,"Seborrh_Keratoses,Sun_Sunlight_Damage,Tinea,Bullous,Warts"
data/SkinDisease/SkinDisease/test/Vascular_Tumors/cherry-angioma-22.jpeg,Vascular_Tumors,Vascular_Tumors,0.4166023433208465,True,"Vascular_Tumors,Moles,SkinCancer,Psoriasis,Seborrh_Keratoses"
data/SkinDisease/SkinDisease/test/Lichen/Lichen-Planus-Hypertrophic-10.jpeg,Lichen,Lichen,0.4177188873291015,True,"Lichen,Eczema,SkinCancer,Vascular_Tumors,DrugEruption"
data/SkinDisease/SkinDisease/test/Bullous/bullous-pemphigoid-41.jpeg,Bullous,Bullous,0.4344314932823181,True,"Bullous,SkinCancer,Benign_tumors,Psoriasis,Vascular_Tumors"
data/SkinDisease/SkinDisease/test/Benign_tumors/nevus-sebaceous-52.jpeg,Benign_tumors,Benign_tumors,0.4396384358406067,True,"Benign_tumors,Moles,SkinCancer,Vascular_Tumors,Sun_Sunlight_Damage"
data/SkinDisease/SkinDisease/test/Benign_tumors/neurofibromas-6.jpeg,Benign_tumors,Benign_tumors,0.4441232979297638,True,"Benign_tumors,Sun_Sunlight_Damage,Lupus,Vascular_Tumors,SkinCancer"
data/SkinDisease/SkinDisease/test/Infestations_Bites/scabies-95.jpeg,Infestations_Bites,Infestations_Bites,0.4442712068557739,True,"Infestations_Bites,Eczema,Vasculitis,Acne,Tinea"
data/SkinDisease/SkinDisease/test/SkinCancer/basal-cell-carcinoma-superficial-61.jpeg,SkinCancer,SkinCancer,0.4471374452114105,True,"SkinCancer,Vasculitis,Sun_Sunlight_Damage,Infestations_Bites,Tinea"
data/SkinDisease/SkinDisease/test/Infestations_Bites/scabies-164.jpeg,Infestations_Bites,Infestations_Bites,0.4579962491989136,True,"Infestations_Bites,Tinea,Eczema,Warts,Benign_tumors"
