image_path,perturbation,original_pred,original_conf,perturbed_pred,perturbed_conf,prediction_flipped,confidence_delta
data/SkinDisease/SkinDisease/test/Moles/atypical-nevi-trunk-14.jpeg,brightness_+40%,Moles,0.9989128112792969,Moles,0.8651310205459595,False,-0.1337817907333374
data/SkinDisease/SkinDisease/test/Moles/atypical-nevi-trunk-14.jpeg,contrast_+40%,Moles,0.9989128112792969,Moles,0.9953008890151978,False,-0.003611922264099121
data/SkinDisease/SkinDisease/test/Moles/atypical-nevi-trunk-14.jpeg,rotation_10deg,Moles,0.9989128112792969,Moles,0.999424934387207,False,0.0005121231079101562
data/SkinDisease/SkinDisease/test/Moles/atypical-nevi-trunk-14.jpeg,downscale_upscale_0.5x,Moles,0.9989128112792969,Moles,0.8985912203788757,False,-0.10032159090042114
data/SkinDisease/SkinDisease/test/Moles/atypical-nevi-trunk-14.jpeg,jpeg_quality_30,Moles,0.9989128112792969,Moles,0.9941552877426147,False,-0.004757523536682129
data/SkinDisease/SkinDisease/test/Vasculitis/vasculitis-88.jpeg,brightness_+40%,Vasculitis,0.9291581511497498,Vasculitis,0.8882091641426086,False,-0.04094898700714111
data/SkinDisease/SkinDisease/test/Vasculitis/vasculitis-88.jpeg,contrast_+40%,Vasculitis,0.9291581511497498,Vasculitis,0.976137101650238,False,0.04697895050048828
data/SkinDisease/SkinDisease/test/Vasculitis/vasculitis-88.jpeg,rotation_10deg,Vasculitis,0.9291581511497498,Vasculitis,0.9945735335350037,False,0.0654153823852539
data/SkinDisease/SkinDisease/test/Vasculitis/vasculitis-88.jpeg,downscale_upscale_0.5x,Vasculitis,0.9291581511497498,Vasculitis,0.935399055480957,False,0.006240904331207275
data/SkinDisease/SkinDisease/test/Vasculitis/vasculitis-88.jpeg,jpeg_quality_30,Vasculitis,0.9291581511497498,Bullous,0.5982957482337952,True,-0.3308624029159546
data/SkinDisease/SkinDisease/test/Unknown_Normal/254_jpg.rf.1d7ce799f366505919beb008b08be4ca.jpeg,brightness_+40%,Unknown_Normal,0.9999523162841797,Unknown_Normal,0.9999421834945679,False,-1.0132789611816406e-05
